,dataset_name,sampling_budget,query_ratio,mean_accuracy
5379,Diagonal_enx_003.csv,0.18,0.1,0.939889580307
3223,Combo_017.csv,0.03,0.04,0.966286302216
15273,Parcel_005.csv,0.08,0.04,0.9764109844609999
8608,DiagonalRot_enx_002.csv,0.01,0.09,0.954455262624
16303,Parcel_010.csv,0.11,0.04,0.979370557238
449,Combo_003.csv,0.05,0.1,0.9231821764470001
2264,Combo_012.csv,0.07,0.05,0.78229187081
11719,Gauss_005.csv,0.12,0.1,0.892843918874
13316,Gauss_eny_001.csv,0.12,0.07,0.805147389166
9561,DiagonalRot_enx_006.csv,0.17,0.02,0.972195879646
19373,Uniform_enx_001.csv,0.18,0.04,0.990325424031
17441,Parcel_016.csv,0.05,0.02,0.9406053247799998
16919,Parcel_013.csv,0.12,0.1,0.9932851869399999
535,Combo_003.csv,0.14,0.06,0.923146838211
13468,Gauss_eny_002.csv,0.07,0.09,0.83626327784
10408,DiagonalRot_eny_005.csv,0.01,0.09,0.97221188244
1836,Combo_010.csv,0.04,0.07,0.867081542843
21228,Uniform_eny_005.csv,0.03,0.09,0.9815010850650001
9236,DiagonalRot_enx_005.csv,0.04,0.07,0.9166958977799999
13984,Gauss_eny_004.csv,0.19,0.05,0.880213040774
20027,Uniform_enx_005.csv,0.03,0.08,0.9870547928560001
6501,Diagonal_eny_003.csv,0.11,0.02,0.937977455864
1890,Combo_010.csv,0.1,0.01,0.809701500052
10129,DiagonalRot_eny_003.csv,0.13,0.1,0.995073282286
5203,Diagonal_enx_003.csv,0.01,0.04,0.879602784472
7801,DiagonalRot_004.csv,0.01,0.02,0.954889694645
19490,Uniform_enx_002.csv,0.1,0.01,0.9447616243729999
18423,Uniform_003.csv,0.03,0.04,0.962424895992
7997,DiagonalRot_004.csv,0.2,0.08,0.971489724391
8815,DiagonalRot_enx_003.csv,0.02,0.06,0.8872946246
1688,Combo_009.csv,0.09,0.09,0.992307162537
21212,Uniform_eny_005.csv,0.02,0.03,0.939904813961
17864,Parcel_018.csv,0.07,0.05,0.947034731997
4614,Diagonal_006.csv,0.02,0.05,0.9167390595
17643,Parcel_017.csv,0.05,0.04,0.970221873961
19866,Uniform_enx_004.csv,0.07,0.07,0.99028531918
9129,DiagonalRot_enx_004.csv,0.13,0.1,0.9744048281540001
2449,Combo_013.csv,0.05,0.1,0.950531806336
21200,Uniform_eny_005.csv,0.01,0.01,0.7276213022229999
5117,Diagonal_enx_002.csv,0.12,0.08,0.953041082923
21371,Uniform_eny_005.csv,0.18,0.02,0.9708113337309999
4822,Diagonal_enx_001.csv,0.03,0.03,0.910986589791
10631,DiagonalRot_eny_006.csv,0.04,0.02,0.958966514085
454,Combo_003.csv,0.06,0.05,0.8861615645379999
19251,Uniform_enx_001.csv,0.06,0.02,0.9632212298200001
19678,Uniform_enx_003.csv,0.08,0.09,0.99188369419
15030,Parcel_004.csv,0.04,0.01,0.769237029227
3852,Diagonal_002.csv,0.06,0.03,0.960907733898
182,Combo_001.csv,0.19,0.03,0.842371226109
13347,Gauss_eny_001.csv,0.15,0.08,0.8164350856899999
15773,Parcel_007.csv,0.18,0.04,0.989341792704
17333,Parcel_015.csv,0.14,0.04,0.983365106978
12315,Gauss_enx_002.csv,0.12,0.06,0.790640323223
21001,Uniform_eny_004.csv,0.01,0.02,0.91771663551
99,Combo_001.csv,0.1,0.1,0.853348241506
5940,Diagonal_enx_006.csv,0.15,0.01,0.9636687956509999
8198,DiagonalRot_005.csv,0.2,0.09,0.9702078985060001
3742,Diagonal_001.csv,0.15,0.03,0.93886616026
20342,Uniform_enx_006.csv,0.15,0.03,0.9764328051719999
2764,Combo_014.csv,0.17,0.05,0.949906877693
833,Combo_005.csv,0.04,0.04,0.91584425849
10904,Gauss_001.csv,0.11,0.05,0.810483791881
13229,Gauss_eny_001.csv,0.03,0.1,0.733712304295
1707,Combo_009.csv,0.11,0.08,0.9919629494040001
254,Combo_002.csv,0.06,0.05,0.8018195497399999
21487,Uniform_eny_006.csv,0.09,0.08,0.991599367998
19942,Uniform_enx_004.csv,0.15,0.03,0.985842941811
1302,Combo_007.csv,0.11,0.03,0.973723112075
13793,Gauss_eny_003.csv,0.2,0.04,0.888277743344
15381,Parcel_005.csv,0.19,0.02,0.972517419268
9226,DiagonalRot_enx_005.csv,0.03,0.07,0.906901178379
15628,Parcel_007.csv,0.03,0.09,0.9877302677600001
6781,Diagonal_eny_004.csv,0.19,0.02,0.934322077109
20076,Uniform_enx_005.csv,0.08,0.07,0.9913135837100001
3930,Diagonal_002.csv,0.14,0.01,0.953953137043
10327,DiagonalRot_eny_004.csv,0.13,0.08,0.9721031934659999
933,Combo_005.csv,0.14,0.04,0.934653774017
7112,Diagonal_eny_006.csv,0.12,0.03,0.934707107761
9406,DiagonalRot_enx_006.csv,0.01,0.07,0.9424890174639999
19888,Uniform_enx_004.csv,0.09,0.09,0.993057891722
9875,DiagonalRot_eny_002.csv,0.08,0.06,0.973830681086
19746,Uniform_enx_003.csv,0.15,0.07,0.991660532368
5732,Diagonal_enx_005.csv,0.14,0.03,0.942157244965
20450,Uniform_eny_001.csv,0.06,0.01,0.940444577817
2009,Combo_011.csv,0.01,0.1,0.849684270279
13423,Gauss_eny_002.csv,0.03,0.04,0.812873534299
10407,DiagonalRot_eny_005.csv,0.01,0.08,0.978176496468
2874,Combo_015.csv,0.08,0.05,0.9099246606460001
9085,DiagonalRot_enx_004.csv,0.09,0.06,0.9511305063969999
1037,Combo_006.csv,0.04,0.08,0.911771661767
20398,Uniform_enx_006.csv,0.2,0.09,0.992846258293
2704,Combo_014.csv,0.11,0.05,0.943950414453
4848,Diagonal_enx_001.csv,0.05,0.09,0.9396423029530001
9115,DiagonalRot_enx_004.csv,0.12,0.06,0.963145169623
3357,Combo_017.csv,0.16,0.08,0.993264647013
13528,Gauss_eny_002.csv,0.13,0.09,0.86846390875
9303,DiagonalRot_enx_005.csv,0.11,0.04,0.9355520037459999
13384,Gauss_eny_001.csv,0.19,0.05,0.843930861292
15277,Parcel_005.csv,0.08,0.08,0.988332686531
11418,Gauss_004.csv,0.02,0.09,0.759972451317
13817,Gauss_eny_004.csv,0.02,0.08,0.784031463625
7881,DiagonalRot_004.csv,0.09,0.02,0.975598025746
11264,Gauss_003.csv,0.07,0.05,0.757211679897
11144,Gauss_002.csv,0.15,0.05,0.8627361171610001
13924,Gauss_eny_004.csv,0.13,0.05,0.862259850688
7839,DiagonalRot_004.csv,0.04,0.1,0.969596041673
17290,Parcel_015.csv,0.1,0.01,0.9107755849950001
5000,Diagonal_enx_002.csv,0.01,0.01,0.9069309408640001
9731,DiagonalRot_eny_001.csv,0.14,0.02,0.9839369337289999
14097,Gauss_eny_005.csv,0.1,0.08,0.849809582444
10030,DiagonalRot_eny_003.csv,0.04,0.01,0.9887105478939999
21179,Uniform_eny_004.csv,0.18,0.1,0.996651992066
1540,Combo_008.csv,0.15,0.01,0.953081416277
9831,DiagonalRot_eny_002.csv,0.04,0.02,0.961308748416
2697,Combo_014.csv,0.1,0.08,0.9490947461820001
2286,Combo_012.csv,0.09,0.07,0.826928406947
4999,Diagonal_enx_001.csv,0.2,0.1,0.960985997276
16287,Parcel_010.csv,0.09,0.08,0.9869344571269999
6504,Diagonal_eny_003.csv,0.11,0.05,0.9541338433140001
10684,DiagonalRot_eny_006.csv,0.09,0.05,0.973952645927
18251,Uniform_002.csv,0.06,0.02,0.9597192707439999
9286,DiagonalRot_enx_005.csv,0.09,0.07,0.9246370030500001
15973,Parcel_008.csv,0.18,0.04,0.988565131107
16973,Parcel_013.csv,0.18,0.04,0.986389277688
6220,Diagonal_eny_002.csv,0.03,0.01,0.9111746450489999
13263,Gauss_eny_001.csv,0.07,0.04,0.802603307887
15026,Parcel_004.csv,0.03,0.07,0.978456256467
19061,Uniform_006.csv,0.07,0.02,0.968666098797
17346,Parcel_015.csv,0.15,0.07,0.988710535562
10201,DiagonalRot_eny_004.csv,0.01,0.02,0.927303896643
20506,Uniform_eny_001.csv,0.11,0.07,0.993777594919
7046,Diagonal_eny_006.csv,0.05,0.07,0.948237944938
10610,DiagonalRot_eny_006.csv,0.02,0.01,0.923663407395
5671,Diagonal_enx_005.csv,0.08,0.02,0.9159620895399999
13802,Gauss_eny_004.csv,0.01,0.03,0.733113581849
14592,Parcel_001.csv,0.2,0.03,0.978867287959
8865,DiagonalRot_enx_003.csv,0.07,0.06,0.9153860498190001
9913,DiagonalRot_eny_002.csv,0.12,0.04,0.979905284535
10908,Gauss_001.csv,0.11,0.09,0.828184598204
1333,Combo_007.csv,0.14,0.04,0.984798699164
10645,DiagonalRot_eny_006.csv,0.05,0.06,0.976858429428
16821,Parcel_013.csv,0.03,0.02,0.929271059388
11680,Gauss_005.csv,0.09,0.01,0.800057330569
18421,Uniform_003.csv,0.03,0.02,0.930776284817
1984,Combo_010.csv,0.19,0.05,0.899188467239
6427,Diagonal_eny_003.csv,0.03,0.08,0.9321814069230001
2435,Combo_013.csv,0.04,0.06,0.947489908204
11074,Gauss_002.csv,0.08,0.05,0.837109381786
11504,Gauss_004.csv,0.11,0.05,0.822198018151
7473,DiagonalRot_002.csv,0.08,0.04,0.9724340042209999
9234,DiagonalRot_enx_005.csv,0.04,0.05,0.913355540475
17084,Parcel_014.csv,0.09,0.05,0.986979215538
17139,Parcel_014.csv,0.14,0.1,0.994517392994
18920,Uniform_005.csv,0.13,0.01,0.952408970218
14761,Parcel_002.csv,0.17,0.02,0.975205372057
18941,Uniform_005.csv,0.15,0.02,0.9757724674029999
3920,Diagonal_002.csv,0.13,0.01,0.9479616052159999
16397,Parcel_010.csv,0.2,0.08,0.993035832527
5376,Diagonal_enx_003.csv,0.18,0.07,0.938073332947
11208,Gauss_003.csv,0.01,0.09,0.705913832444
7293,DiagonalRot_001.csv,0.1,0.04,0.965496900261
7638,DiagonalRot_003.csv,0.04,0.09,0.9501123562839999
8731,DiagonalRot_enx_002.csv,0.14,0.02,0.971639524371
20308,Uniform_enx_006.csv,0.11,0.09,0.9901020132330001
2813,Combo_015.csv,0.02,0.04,0.8806803456260001
9317,DiagonalRot_enx_005.csv,0.12,0.08,0.9431457615629999
536,Combo_003.csv,0.14,0.07,0.9195915811059999
20795,Uniform_eny_002.csv,0.2,0.06,0.9914602755390001
1139,Combo_006.csv,0.14,0.1,0.949775312617
13222,Gauss_eny_001.csv,0.03,0.03,0.763528579051
4116,Diagonal_003.csv,0.12,0.07,0.9490979919879999
468,Combo_003.csv,0.07,0.09,0.9148641873569999
21328,Uniform_eny_005.csv,0.13,0.09,0.9916028998090001
8196,DiagonalRot_005.csv,0.2,0.07,0.977465781883
18674,Uniform_004.csv,0.08,0.05,0.988796723045
15004,Parcel_004.csv,0.01,0.05,0.92999212546
20965,Uniform_eny_003.csv,0.17,0.06,0.991540296189
617,Combo_004.csv,0.02,0.08,0.9411704343680001
8086,DiagonalRot_005.csv,0.09,0.07,0.946651647824
1310,Combo_007.csv,0.12,0.01,0.9283081368260001
1012,Combo_006.csv,0.02,0.03,0.893420248434
15652,Parcel_007.csv,0.06,0.03,0.973624023722
6244,Diagonal_eny_002.csv,0.05,0.05,0.931145946359
5300,Diagonal_enx_003.csv,0.11,0.01,0.907957103844
3251,Combo_017.csv,0.06,0.02,0.954235664806
3547,Combo_018.csv,0.15,0.08,0.9940802767899999
19752,Uniform_enx_003.csv,0.16,0.03,0.982490559949
7578,DiagonalRot_002.csv,0.18,0.09,0.972195480175
14240,Gauss_eny_006.csv,0.05,0.01,0.811986405751
17201,Parcel_015.csv,0.01,0.02,0.8578616074
5236,Diagonal_enx_003.csv,0.04,0.07,0.908521109998
15059,Parcel_004.csv,0.06,0.1,0.9894455074040001
6803,Diagonal_eny_005.csv,0.01,0.04,0.907860641182
7944,DiagonalRot_004.csv,0.15,0.05,0.9714437134739999
17585,Parcel_016.csv,0.19,0.06,0.991822233548
10388,DiagonalRot_eny_004.csv,0.19,0.09,0.977264109861
2209,Combo_012.csv,0.01,0.1,0.7616489207160001
19944,Uniform_enx_004.csv,0.15,0.05,0.990766618662
289,Combo_002.csv,0.09,0.1,0.8597144985330001
1121,Combo_006.csv,0.13,0.02,0.928466816997
2656,Combo_014.csv,0.06,0.07,0.943162553079
3478,Combo_018.csv,0.08,0.09,0.9921505126219999
8509,DiagonalRot_enx_001.csv,0.11,0.1,0.9895125726360001
8589,DiagonalRot_enx_001.csv,0.19,0.1,0.9918093285240001
14858,Parcel_003.csv,0.06,0.09,0.990012332017
15930,Parcel_008.csv,0.14,0.01,0.958690381083
15303,Parcel_005.csv,0.11,0.04,0.9805600152439999
5518,Diagonal_enx_004.csv,0.12,0.09,0.9745862558120001
20523,Uniform_eny_001.csv,0.13,0.04,0.9900503632850001
12382,Gauss_enx_002.csv,0.19,0.03,0.807053143501
21586,Uniform_eny_006.csv,0.19,0.07,0.993482939324
3526,Combo_018.csv,0.13,0.07,0.9921198343340001
18522,Uniform_003.csv,0.13,0.03,0.9788615694
1835,Combo_010.csv,0.04,0.06,0.8512695798729999
17478,Parcel_016.csv,0.08,0.09,0.990892535904
20900,Uniform_eny_003.csv,0.11,0.01,0.9435219821590001
9331,DiagonalRot_enx_005.csv,0.14,0.02,0.9533463922550001
16054,Parcel_009.csv,0.06,0.05,0.9783084315539999
1042,Combo_006.csv,0.05,0.03,0.9077300531200001
10885,Gauss_001.csv,0.09,0.06,0.818268017579
17437,Parcel_016.csv,0.04,0.08,0.9864468274600001
982,Combo_005.csv,0.19,0.03,0.957177526753
11617,Gauss_005.csv,0.02,0.08,0.808172951241
19744,Uniform_enx_003.csv,0.15,0.05,0.988965360994
12550,Gauss_enx_003.csv,0.16,0.01,0.8208607146250001
2596,Combo_013.csv,0.2,0.07,0.9670748513580001
21517,Uniform_eny_006.csv,0.12,0.08,0.992720817944
11342,Gauss_003.csv,0.15,0.03,0.81988428757
16142,Parcel_009.csv,0.15,0.03,0.977265331769
7014,Diagonal_eny_006.csv,0.02,0.05,0.929193046135
4488,Diagonal_005.csv,0.09,0.09,0.934394574744
5144,Diagonal_enx_002.csv,0.15,0.05,0.958335487986
20694,Uniform_eny_002.csv,0.1,0.05,0.983158664991
377,Combo_002.csv,0.18,0.08,0.880579225792
357,Combo_002.csv,0.16,0.08,0.86728888685
14729,Parcel_002.csv,0.13,0.1,0.9945407887630001
11097,Gauss_002.csv,0.1,0.08,0.878618529036
9366,DiagonalRot_enx_005.csv,0.17,0.07,0.937399645306
20279,Uniform_enx_006.csv,0.08,0.1,0.991202257966
7589,DiagonalRot_002.csv,0.19,0.1,0.968551019296
12545,Gauss_enx_003.csv,0.15,0.06,0.835114704922
5537,Diagonal_enx_004.csv,0.14,0.08,0.970264409257
13761,Gauss_eny_003.csv,0.17,0.02,0.8539415681810001
19823,Uniform_enx_004.csv,0.03,0.04,0.971727549808
21454,Uniform_eny_006.csv,0.06,0.05,0.985474780749
11890,Gauss_006.csv,0.1,0.01,0.756374377645
2234,Combo_012.csv,0.04,0.05,0.761831833776
14452,Parcel_001.csv,0.06,0.03,0.958489072246
10734,DiagonalRot_eny_006.csv,0.14,0.05,0.978312455258
15661,Parcel_007.csv,0.07,0.02,0.9658590081299999
20642,Uniform_eny_002.csv,0.05,0.03,0.957669454
7403,DiagonalRot_002.csv,0.01,0.04,0.9485525109090001
4352,Diagonal_004.csv,0.16,0.03,0.9608705772249999
19489,Uniform_enx_002.csv,0.09,0.1,0.993810310018
10094,DiagonalRot_eny_003.csv,0.1,0.05,0.9927340082870001
20879,Uniform_eny_003.csv,0.08,0.1,0.9916271371709999
7884,DiagonalRot_004.csv,0.09,0.05,0.971375412403
16808,Parcel_013.csv,0.01,0.09,0.9728692157709999
20806,Uniform_eny_003.csv,0.01,0.07,0.967177901141
6179,Diagonal_eny_001.csv,0.18,0.1,0.9650796228899999
10649,DiagonalRot_eny_006.csv,0.05,0.1,0.96769685935
10215,DiagonalRot_eny_004.csv,0.02,0.06,0.972658314147
2718,Combo_014.csv,0.12,0.09,0.946064711589
18387,Uniform_002.csv,0.19,0.08,0.994496737626
1256,Combo_007.csv,0.06,0.07,0.985883208673
5385,Diagonal_enx_003.csv,0.19,0.06,0.944124947614
2640,Combo_014.csv,0.05,0.01,0.931221946607
4318,Diagonal_004.csv,0.12,0.09,0.973588614055
20516,Uniform_eny_001.csv,0.12,0.07,0.994108631065
14623,Parcel_002.csv,0.03,0.04,0.9665932650910001
2652,Combo_014.csv,0.06,0.03,0.9292123577179999
21361,Uniform_eny_005.csv,0.17,0.02,0.968108580253
20172,Uniform_enx_005.csv,0.18,0.03,0.9869479013950001
6006,Diagonal_eny_001.csv,0.01,0.07,0.9330237808740001
10247,DiagonalRot_eny_004.csv,0.05,0.08,0.9605847610680001
16059,Parcel_009.csv,0.06,0.1,0.988761174245
1336,Combo_007.csv,0.14,0.07,0.9919664346979999
17993,Parcel_018.csv,0.2,0.04,0.966045160511
113,Combo_001.csv,0.12,0.04,0.8555430711740001
6879,Diagonal_eny_005.csv,0.08,0.1,0.936358021877
472,Combo_003.csv,0.08,0.03,0.8631888903730001
10392,DiagonalRot_eny_004.csv,0.2,0.03,0.987966193173
17454,Parcel_016.csv,0.06,0.05,0.9804950115150001
5222,Diagonal_enx_003.csv,0.03,0.03,0.9034222125650001
18912,Uniform_005.csv,0.12,0.03,0.982374955993
15734,Parcel_007.csv,0.14,0.05,0.9904896077299998
4286,Diagonal_004.csv,0.09,0.07,0.958630364487
13367,Gauss_eny_001.csv,0.17,0.08,0.800809622963
15291,Parcel_005.csv,0.1,0.02,0.957613903485
6270,Diagonal_eny_002.csv,0.08,0.01,0.927635312721
12549,Gauss_enx_003.csv,0.15,0.1,0.860655368694
14895,Parcel_003.csv,0.1,0.06,0.986783037466
17730,Parcel_017.csv,0.14,0.01,0.923330010131
13551,Gauss_eny_002.csv,0.16,0.02,0.8733834004819999
20941,Uniform_eny_003.csv,0.15,0.02,0.974930942718
6161,Diagonal_eny_001.csv,0.17,0.02,0.962865777919
18493,Uniform_003.csv,0.1,0.04,0.9807912468690001
380,Combo_002.csv,0.19,0.01,0.8301730678039999
21432,Uniform_eny_006.csv,0.04,0.03,0.968711784924
9938,DiagonalRot_eny_002.csv,0.14,0.09,0.9758861197859999
15900,Parcel_008.csv,0.11,0.01,0.944349089012
17691,Parcel_017.csv,0.1,0.02,0.9595541997210001
14167,Gauss_eny_005.csv,0.17,0.08,0.849449804841
20875,Uniform_eny_003.csv,0.08,0.06,0.98756270456
8866,DiagonalRot_enx_003.csv,0.07,0.07,0.9024848361650001
14007,Gauss_eny_005.csv,0.01,0.08,0.745398211442
135,Combo_001.csv,0.14,0.06,0.836731304825
11057,Gauss_002.csv,0.06,0.08,0.82999673652
18618,Uniform_004.csv,0.02,0.09,0.9868970502429999
6405,Diagonal_eny_003.csv,0.01,0.06,0.903376338458
12783,Gauss_enx_004.csv,0.19,0.04,0.8673299050550001
14092,Gauss_eny_005.csv,0.1,0.03,0.842326047768
6289,Diagonal_eny_002.csv,0.09,0.1,0.9541355836740001
6885,Diagonal_eny_005.csv,0.09,0.06,0.929581877428
16803,Parcel_013.csv,0.01,0.04,0.9384165180320001
4745,Diagonal_006.csv,0.15,0.06,0.948781287676
14000,Gauss_eny_005.csv,0.01,0.01,0.7530789148810001
13544,Gauss_eny_002.csv,0.15,0.05,0.8497565549070001
15884,Parcel_008.csv,0.09,0.05,0.9873733418799999
13213,Gauss_eny_001.csv,0.02,0.04,0.749236104739
20910,Uniform_eny_003.csv,0.12,0.01,0.942779029172
7302,DiagonalRot_001.csv,0.11,0.03,0.96729501688
2087,Combo_011.csv,0.09,0.08,0.874404416706
11450,Gauss_004.csv,0.06,0.01,0.7622642048489999
15003,Parcel_004.csv,0.01,0.04,0.908764117747
11775,Gauss_005.csv,0.18,0.06,0.8952579227399999
3997,Diagonal_002.csv,0.2,0.08,0.9761729619249999
19151,Uniform_006.csv,0.16,0.02,0.98000637455
21248,Uniform_eny_005.csv,0.05,0.09,0.9874580656990001
19302,Uniform_enx_001.csv,0.11,0.03,0.982480448167
17561,Parcel_016.csv,0.17,0.02,0.973557027526
3288,Combo_017.csv,0.09,0.09,0.9923005454070001
21246,Uniform_eny_005.csv,0.05,0.07,0.9828687921420001
425,Combo_003.csv,0.03,0.06,0.8724568572120001
17440,Parcel_016.csv,0.05,0.01,0.89459231266
19446,Uniform_enx_002.csv,0.05,0.07,0.989111376979
6390,Diagonal_eny_002.csv,0.2,0.01,0.940252620192
19459,Uniform_enx_002.csv,0.06,0.1,0.991893970449
7121,Diagonal_eny_006.csv,0.13,0.02,0.9406290624339999
4693,Diagonal_006.csv,0.1,0.04,0.942553121446
6518,Diagonal_eny_003.csv,0.12,0.09,0.964250531005
17471,Parcel_016.csv,0.08,0.02,0.960749774857
20692,Uniform_eny_002.csv,0.1,0.03,0.9729847214380001
20971,Uniform_eny_003.csv,0.18,0.02,0.976967243123
9526,DiagonalRot_enx_006.csv,0.13,0.07,0.979889599445
9102,DiagonalRot_enx_004.csv,0.11,0.03,0.9662116343029999
17923,Parcel_018.csv,0.13,0.04,0.9611423904
9796,DiagonalRot_eny_001.csv,0.2,0.07,0.981217372341
8618,DiagonalRot_enx_002.csv,0.02,0.09,0.9526041578710001
7907,DiagonalRot_004.csv,0.11,0.08,0.965662587778
13988,Gauss_eny_004.csv,0.19,0.09,0.8941422602879999
15077,Parcel_004.csv,0.08,0.08,0.989035451899
3214,Combo_017.csv,0.02,0.05,0.967556008118
29,Combo_001.csv,0.03,0.1,0.7923096117180001
14653,Parcel_002.csv,0.06,0.04,0.9798931088799999
1833,Combo_010.csv,0.04,0.04,0.825523517025
3658,Diagonal_001.csv,0.06,0.09,0.939182702495
16399,Parcel_010.csv,0.2,0.1,0.994518704409
9801,DiagonalRot_eny_002.csv,0.01,0.02,0.940412711643
15671,Parcel_007.csv,0.08,0.02,0.968290807614
7414,DiagonalRot_002.csv,0.02,0.05,0.958792738946
6275,Diagonal_eny_002.csv,0.08,0.06,0.933902140698
12166,Gauss_enx_001.csv,0.17,0.07,0.845922324232
20866,Uniform_eny_003.csv,0.07,0.07,0.989718810376
2197,Combo_011.csv,0.2,0.08,0.9206752211299999
20737,Uniform_eny_002.csv,0.14,0.08,0.991873285056
7159,Diagonal_eny_006.csv,0.16,0.1,0.955634806012
9252,DiagonalRot_enx_005.csv,0.06,0.03,0.944053342317
18592,Uniform_003.csv,0.2,0.03,0.983819926996
3162,Combo_016.csv,0.17,0.03,0.983548684132
2339,Combo_012.csv,0.14,0.1,0.9062084732100001
10399,DiagonalRot_eny_004.csv,0.2,0.1,0.973227936378
16804,Parcel_013.csv,0.01,0.05,0.952702895037
653,Combo_004.csv,0.06,0.04,0.932582910158
